@copyright 新媒体搜索引擎: https://www.sougood.top
-----------------------------------------------
词语	词频	词性
「	11513	字符串
做	11385	动词
说	11368	动词
中	8580	方位词
更	7822	副词
年	6929	数词
公司	5941	名词
里	5742	方位词
想	5567	动词
投资	5509	动词
时间	5435	名词
事情	4939	名词
时	4626	名词
工作	4491	动词
一种	4376	数词
…	3660	字符串
生活	3573	动词
世界	3428	名词
东西	3351	名词
价值	3146	名词
选择	3054	动词
事	2881	名词
发现	2832	动词
没	2765	动词
新	2641	形容词
能力	2632	名词
钱	2618	名词
信息	2589	名词
月	2544	数词
思考	2507	动词
理解	2502	动词
方式	2496	名词
喜欢	2406	动词
写	2367	动词
阅读	2337	动词
产品	2282	名词
市场	2274	名词
这是	2264	代词
这是	2264	动词
企业	2232	名词
朋友	2207	名词
中国	2111	名词
人生	2093	名词
高	2077	形容词
过程	2005	名词
未来	2001	时间词
希望	1993	动词
关系	1983	名词
一点	1973	数词
问	1967	名词
学习	1941	动词
简单	1931	形容词
买	1925	动词
孩子	1893	名词
两个	1884	数词
社会	1856	名词
讲	1847	动词
目标	1824	名词

游戏	1812	名词
真的	1809	副词
机会	1802	名词
文章	1779	名词
出	1766	动词
前	1760	方位词
特别	1740	副词
情况	1734	名词
a	1698	字符串
改变	1691	动词
基金	1686	名词
内容	1681	名词
影响	1681	动词
知识	1659	动词
找到	1655	动词
发生	1590	动词
方法	1573	名词
自我	1563	代词
成功	1558	形容词
用户	1549	名词
情绪	1539	名词
长期	1531	副词
感觉	1503	名词
太	1502	副词
认知	1478	动词
故事	1474	名词
话	1472	名词
投资者	1471	名词
有人	1463	代词
思维	1428	名词
找	1414	动词
想要	1403	动词
概率	1402	名词
告诉	1394	动词
走	1390	动词
意义	1375	名词
带来	1365	动词
努力	1350	形容词
股票	1337	名词
之间	1328	方位词
研究	1323	动词
老师	1318	名词
关注	1301	动词
原因	1297	名词
岁	1297	数词
状态	1292	名词
团队	1283	名词
人类	1279	名词
听	1274	动词
越	1271	副词
点	1269	数词
经历	1257	名词
发展	1252	动词
更好	1234	副词
行业	1233	名词
分享	1228	动词
员工	1226	名词
原创	1217	名词
最终	1215	副词
时代	1195	名词
地方	1193	名词
是因为	1188	连词
互联网	1177	名词
也许	1171	副词
感受	1169	动词
一件	1148	数词
成长	1147	动词
美国	1132	名词
只能	1130	动词
书	1124	名词
解决	1122	动词
赚	1118	动词
